Description,Same?,Values,Byte,Cellivar,2014 Blue Autopark,2013 Camera Only,2013 Silver,2015 Wreck A,2015 Wreck B,2013 Wreck A,2013 Wreck B,2013 Silver Autopark,2013 Energi Autopark A,2013 Energi Autopark B,2013 Hybrid Autopark B,2017 Energi Autopark A,2018 Hybrid Base A
Checksum,,,0,82,2D,8D,81,65,65,27,27,28,8F,8F,28,CF,78
Vehicle Type,TRUE,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Doors,TRUE,02,2,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Trans driveline,TRUE,01,3,01,01,01,01,01,01,01,01,01,01,01,01,01,01
bi-fuel,TRUE,01,4,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Engine,TRUE,8E,5,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E
Fuel Type,FALSE,08;03,6,08,03,08,08,03,03,03,03,03,08,08,03,08,03
Alternator,TRUE,01,7,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Steering wheel position,TRUE,01,8,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Gearbox,TRUE,0E,9,0E,0E,0E,0E,0E,0E,0E,0E,0E,0E,0E,0E,0E,0E
Gearbox,TRUE,02,10,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Fuel tank volume,FALSE,0D;0B,11,0D,0B,0D,0D,0B,0B,0B,0B,0B,0D,0D,0B,0D,0D
Alarm,TRUE,03,12,03,03,03,03,03,03,03,03,03,03,03,03,03,03
RESERVED,TRUE,00,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Headlights type,FALSE,02;18,14,02,02,02,02,02,02,02,02,02,02,02,02,18,18
Headlamps,TRUE,01,15,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Daylight running lamps,FALSE,03;02;0A;05,16,03,02,02,02,0A,0A,03,03,02,02,02,02,05,05
Dimmed dipped headlights,TRUE,02,17,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Foglight function,FALSE,03;01,18,03,03,03,03,03,03,03,03,03,03,03,03,03,01
Rear foglight tow function,TRUE,02,19,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Trailer module,TRUE,01,20,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Keyless entry and start,FALSE,02;01,21,02,02,02,02,02,02,02,02,02,02,02,02,02,01
Additional heater,TRUE,01,22,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Cruise control,TRUE,02,23,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Rain sensor,FALSE,02;01,24,02,02,02,02,02,02,02,02,02,02,02,02,02,01
Headlight cleaning,TRUE,01,25,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Power steering type,TRUE,04,26,04,04,04,04,04,04,04,04,04,04,04,04,04,04
Trip computer,TRUE,04,27,04,04,04,04,04,04,04,04,04,04,04,04,04,04
Private locking trunk,TRUE,01,28,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Child lock,TRUE,02,29,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Unlocking settings,FALSE,03;04,30,03,03,03,03,03,03,03,03,03,03,03,03,03,04
ACK signal lock/alarm,TRUE,02,31,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Automatic locking by speed,TRUE,02,32,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Level sensor - if alarm,TRUE,01,33,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Reset - if alarm,TRUE,01,34,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Passive alarm activation,TRUE,01,35,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Panic alarm,TRUE,02,36,02,02,02,02,02,02,02,02,02,02,02,02,02,02
BLIS,FALSE,01;03,37,01,01,01,01,01,01,01,01,01,01,01,01,03,01
Road friction detection,TRUE,01,38,01,01,01,01,01,01,01,01,01,01,01,01,01,01
PTC Heater,TRUE,01,39,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Battery,TRUE,01,40,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Coupe filter,TRUE,01,41,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Climate control unit,TRUE,01,42,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Speed limitation,TRUE,07,43,07,07,07,07,07,07,07,07,07,07,07,07,07,07
Speed warning device,TRUE,01,44,01,01,01,01,01,01,01,01,01,01,01,01,01,01
IPC Calibration,TRUE,01,45,01,01,01,01,01,01,01,01,01,01,01,01,01,01
